,Open,High,Low,Close,
11/4/13 13:00,1.35104,1.35122,1.34915,1.34933,10934
11/4/13 14:00,1.34931,1.3511,1.3492,1.35079,10427
11/4/13 15:00,1.35084,1.35193,1.3507,1.35105,16816
11/4/13 16:00,1.35103,1.35243,1.35075,1.35151,15506
11/4/13 17:00,1.3515,1.35156,1.35055,1.35104,6115
11/4/13 18:00,1.35106,1.35127,1.35073,1.35111,4385
11/4/13 19:00,1.35111,1.35191,1.35103,1.35168,3726
11/4/13 20:00,1.35166,1.3521,1.35155,1.35205,4165
11/4/13 21:00,1.35205,1.35208,1.35131,1.35139,2493
11/4/13 22:00,1.3514,1.35149,1.3507,1.3512,1491
11/4/13 23:00,1.35121,1.35184,1.35108,1.35153,1354
11/5/13 0:00,1.35152,1.35224,1.35125,1.35195,4493
11/5/13 1:00,1.35194,1.35202,1.34989,1.3504,5856
11/5/13 2:00,1.3504,1.35114,1.3503,1.3508,3379
11/5/13 3:00,1.3508,1.3508,1.3497,1.3502,4724
11/5/13 4:00,1.35021,1.35078,1.34955,1.34972,3205
11/5/13 5:00,1.34972,1.35022,1.3497,1.35001,1678
11/5/13 6:00,1.35002,1.35027,1.34904,1.34971,4637
11/5/13 7:00,1.3497,1.35044,1.34899,1.34913,9944
11/5/13 8:00,1.34913,1.34927,1.34814,1.34841,18562
11/5/13 9:00,1.3484,1.3496,1.34783,1.34957,17159
11/5/13 10:00,1.34956,1.35109,1.349,1.35022,16942
11/5/13 11:00,1.35022,1.35039,1.34865,1.34936,11899
11/5/13 12:00,1.34936,1.34992,1.34885,1.34941,10114
11/5/13 13:00,1.34943,1.34971,1.34606,1.34676,19827
11/5/13 14:00,1.34677,1.34774,1.34642,1.34706,20027
11/5/13 15:00,1.34709,1.34757,1.3449,1.34749,22815
11/5/13 16:00,1.34747,1.34832,1.3465,1.34685,14262
11/5/13 17:00,1.34686,1.34782,1.3466,1.34693,8025
11/5/13 18:00,1.34691,1.34789,1.34675,1.34735,6244
11/5/13 19:00,1.34735,1.34787,1.3469,1.34734,4790
11/5/13 20:00,1.34735,1.34762,1.34703,1.3471,4429
11/5/13 21:00,1.3471,1.34762,1.34708,1.3474,2763
11/5/13 22:00,1.34742,1.34767,1.34705,1.34721,1358
11/5/13 23:00,1.34722,1.34744,1.34714,1.34719,1836
11/6/13 0:00,1.34719,1.34763,1.34684,1.34684,2386
11/6/13 1:00,1.34686,1.3471,1.34675,1.34694,3375
11/6/13 2:00,1.34693,1.34889,1.3468,1.34886,4202
11/6/13 3:00,1.34886,1.35163,1.34871,1.3511,8037
11/6/13 4:00,1.35112,1.35212,1.35077,1.35084,5546
11/6/13 5:00,1.35084,1.35091,1.3501,1.35048,3349
11/6/13 6:00,1.35048,1.35107,1.35003,1.35007,4313
11/6/13 7:00,1.35006,1.35094,1.34925,1.35032,8638
11/6/13 8:00,1.35032,1.35074,1.34879,1.35052,13090
11/6/13 9:00,1.35051,1.35209,1.35006,1.35071,14415
11/6/13 10:00,1.3507,1.35125,1.35023,1.35073,8629
11/6/13 11:00,1.35077,1.3532,1.3505,1.35081,12961
11/6/13 12:00,1.35081,1.35242,1.35047,1.35203,9835
11/6/13 13:00,1.35202,1.35245,1.3502,1.35039,12906
11/6/13 14:00,1.35038,1.35471,1.35015,1.35399,16935
11/6/13 15:00,1.35398,1.35467,1.35223,1.35265,18826
11/6/13 16:00,1.35264,1.35311,1.35156,1.35288,12579
11/6/13 17:00,1.35287,1.35322,1.35212,1.35258,7690
11/6/13 18:00,1.35259,1.35293,1.35142,1.35212,5438
11/6/13 19:00,1.3521,1.35226,1.35166,1.35215,3573
11/6/13 20:00,1.35211,1.35253,1.35198,1.35223,5092
11/6/13 21:00,1.35223,1.35224,1.3512,1.35126,3344
11/6/13 22:00,1.35124,1.35165,1.35124,1.35154,1416
11/6/13 23:00,1.35153,1.35177,1.35135,1.35175,1305
11/7/13 0:00,1.35173,1.35187,1.35004,1.35087,5392
11/7/13 1:00,1.35087,1.35146,1.35042,1.35114,4733
11/7/13 2:00,1.35115,1.35186,1.35111,1.35154,2878
11/7/13 3:00,1.35155,1.35208,1.35144,1.35185,1520
11/7/13 4:00,1.35186,1.35239,1.35165,1.35174,4051
11/7/13 5:00,1.35172,1.35275,1.35172,1.35267,3110
11/7/13 6:00,1.35267,1.35287,1.35215,1.3524,3976
11/7/13 7:00,1.3524,1.3524,1.35119,1.35213,6219
11/7/13 8:00,1.35212,1.35257,1.35127,1.35237,10148
11/7/13 9:00,1.35236,1.35246,1.3516,1.35188,10219
11/7/13 10:00,1.35188,1.35204,1.35045,1.3505,9305
11/7/13 11:00,1.35045,1.35177,1.3504,1.35059,8027
11/7/13 12:00,1.35061,1.35158,1.33539,1.33714,24375
11/7/13 13:00,1.33714,1.33811,1.3295,1.33316,41983
11/7/13 14:00,1.33312,1.33764,1.33249,1.33638,33619
11/7/13 15:00,1.33638,1.33834,1.335,1.33823,25488
11/7/13 16:00,1.33823,1.34254,1.33756,1.33898,27558
11/7/13 17:00,1.33898,1.34121,1.33854,1.34046,12664
11/7/13 18:00,1.3405,1.34407,1.34036,1.34281,19194
11/7/13 19:00,1.34283,1.34496,1.34257,1.34281,13732
11/7/13 20:00,1.34279,1.34291,1.34172,1.34182,8699
11/7/13 21:00,1.34184,1.3422,1.34135,1.34194,4891
11/7/13 22:00,1.34189,1.34242,1.3411,1.34134,2281
11/7/13 23:00,1.34134,1.34179,1.34072,1.34087,2846
11/8/13 0:00,1.34087,1.34157,1.3405,1.34079,4299
11/8/13 1:00,1.34079,1.34187,1.34079,1.34135,4763
11/8/13 2:00,1.34135,1.34157,1.34071,1.3408,4166
11/8/13 3:00,1.34079,1.34129,1.34064,1.34104,2779
11/8/13 4:00,1.34105,1.34123,1.34073,1.34086,3248
11/8/13 5:00,1.34086,1.34139,1.34005,1.34086,3255
11/8/13 6:00,1.34086,1.34106,1.3388,1.34065,8598
11/8/13 7:00,1.34064,1.34197,1.34038,1.34147,9483
